Operating Airline,count,Passenger Count,cluster_id
ATA Airlines,44,384764,0
Aer Lingus,98,431904,0
Aeromexico,180,983488,0
Air Berlin,36,83547,0
Air Canada ,366,6680071,0
Air Canada Jazz,14,4119,0
Air China,259,1714149,0
Air France,258,2989982,0
Air India Limited,8,22676,0
Air New Zealand,259,1930156,0
AirTran Airways,226,2388648,0
Alaska Airlines,751,12955980,0
All Nippon Airways,258,1647465,0
Allegiant Air,16,24269,0
American Airlines,272,34588714,1
American Eagle Airlines,106,424692,0
Ameriflight,22,110,0
Asiana Airlines,258,1522964,0
Atlantic Southeast Airlines,22,47892,0
"Atlas Air, Inc",2,68,0
BelAir Airlines,22,9138,0
Boeing Company,1,18,0
British Airways,258,4547282,0
"COPA Airlines, Inc.",14,47853,0
Cathay Pacific,258,4417302,0
China Airlines,258,2543239,0
China Eastern,72,395885,0
China Southern,32,138286,0
Compass Airlines,88,2055553,0
Delta Air Lines,386,26440420,1
EVA Airways,258,3384020,0
Emirates ,180,1632756,0
Etihad Airways,34,220187,0
Evergreen International Airlines,2,4,0
ExpressJet Airlines,32,180219,0
Frontier Airlines,260,4624796,0
Hawaiian Airlines,258,2136804,0
Horizon Air ,216,1204758,0
Icelandair,20,55994,0
Independence Air,10,63913,0
Japan Airlines,259,1675816,0
Jet Airways,16,68485,0
JetBlue Airways ,222,7827973,0
KLM Royal Dutch Airlines,258,2379228,0
Korean Air Lines,258,1465043,0
LAN Peru,90,250741,0
Lufthansa German Airlines,258,4979907,0
Mesa Airlines,117,434138,0
Mesaba Airlines,44,126048,0
Mexicana Airlines,124,991232,0
Miami Air International,16,1718,0
Midwest Airlines,116,450428,0
Northwest Airlines,240,6266220,0
Pacific Aviation,2,320,0
Philippine Airlines,258,2644148,0
Qantas Airways,134,668823,0
Republic Airlines,24,58860,0
SAS Airlines,72,422341,0
Servisair,36,3242,0
Singapore Airlines,258,3804635,0
SkyWest Airlines,963,35711737,1
Southwest Airlines,309,25087141,1
Spirit Airlines,24,70105,0
Sun Country Airlines,250,998163,0
Swiss International,139,842568,0
Swissport USA,15,3879,0
TACA,258,1307079,0
Turkish Airlines,24,195898,0
US Airways,304,16816616,1
Virgin America,362,26934738,1
Virgin Atlantic,258,2540553,0
WestJet Airlines,103,549830,0
World Airways,3,785,0
XL Airways France,31,68918,0
Xtra Airways,2,146,0
